movie_id,budget,revenue,unit,currency
101,1.00,12.50,Billions,INR
102,200.00,954.80,Millions,USD
103,165.00,644.80,Millions,USD
104,180.00,854.00,Millions,USD
105,250.00,670.00,Millions,USD
107,400.00,2000.00,Millions,INR
108,550.00,4000.00,Millions,INR
109,390.00,1360.00,Millions,INR
110,1.40,3.50,Billions,INR
111,25.00,73.30,Millions,USD
113,165.00,701.80,Millions,USD
114,205.00,365.30,Millions,USD
115,55.00,307.10,Millions,USD
116,103.00,460.50,Millions,USD
117,200.00,2202.00,Millions,USD
118,3.18,3.30,Millions,USD
119,237.00,2847.00,Millions,USD
120,7.20,291.00,Millions,USD
121,185.00,1006.00,Millions,USD
122,22.00,322.20,Millions,USD
123,63.00,1046.00,Millions,USD
124,15.50,263.10,Millions,USD
125,400.00,2798.00,Millions,USD
126,400.00,2048.00,Millions,USD
127,70000.00,100000.00,Thousands,INR
128,120.00,1350.00,Millions,INR
129,100.00,410.00,Millions,INR
130,850.00,8540.00,Millions,INR
131,1.00,5.90,Billions,INR
132,2.00,3.60,Billions,INR
133,5.50,12.00,Billions,INR
134,1.80,6.50,Billions,INR
135,250.00,3409.00,Millions,INR
136,900.00,11690.00,Millions,INR
137,216.70,370.60,Millions,USD
138,177.00,714.40,Millions,USD
139,1.80,3.10,Billions,INR
140,500.00,950.00,Millions,INR
406,30.00,350.00,Millions,INR
412,160.00,836.80,Millions,USD
